Titulo,Idioma,Sinopsis,Fecha_estreno,Popularidad,Numero_votos,Promedio_votos,Presupuesto,Ingresos,Duracion,Generos,Pais_ estreno,Clasificacion,Director,Reparto,Lugares_ rodaje,Subgeneros
Dead Woman's Hollow,Ingles,Desconocido,2013-09-24,1.645,2,1.5,0,0,105,"Crime, Horror, Thriller",USA,NOT RATED,Libby McDermott,Jeremy Bingaman|Bethany Coyle|Roger Durga Dahal|Charles Dawson|Charles Dawson|Suzi Delarnoux|Koran Dunbar|Boyd Dunson|Monique Dupree|Bernardo Gomez-Kling|Christy Green|Mel Heflin|Maura Housley|Shane Huckle|Grace Kober,Desconocido,Slasher
Judy,Ingles,"Bad things happen to bad people. That's what Ursula, the ring leader of a deranged group of street performers called ""The Crows"", always says. For no apparent reason, the gang starts to torment Mary and Judy: a young car driver and her dog. Her only crime was not paying attention to the annoying street performers. For Mary, the curtains of the most insane and dangerous show will rise - and fall. The Crows' show is not just about blood.",2014-11-15,1.645,7,3.1,0,0,80,"Horror, Thriller",Italy,NOT RATED,Emanuele De Santi,Jade Matthew|Carol Bolt|Ashleigh Whitfield|Orietta Babusci|Marlagrazia Giorgi,Desconocido,Slasher
The Goblin,Ingles,Desconocido,2017-10-31,1.643,1,8.0,30000,0,67,"Fantasy, Horror, Thriller",USA,NOT RATED,Wyatt Michael,Robert Levey II|Nicole Hargrove|Josh Collins|Wyatt Michael,North Carolina USA,Terror sobrenatural
The Path,Español,"In an attempt to recover his marriage, Raul will go with Ana and her son Nico to celebrate Christmas in a cabin away from it all. During the celebration of Christmas his life will change forever. During his strange experiences Raul begins traveling through his memories and faces the reality of his actions.",2012-06-15,1.642,21,4.6,0,0,82,"Drama, Horror, Thriller",Mexico,NOT RATED,Miguel Ángel Toledo,Ariel Castro|Raquel Escribano|Javier Montó|Joan Prades|Gustavo Salmerón|Ricardo Trenor|Irene Visedo,"Ciudad de la Luz, Alicante, Comunidad Valenciana, Spain",Terror psicológico
The Demon Inside,Ingles,"Years after his release from jail, Sam Parsons is trying to build his life with his wife Courtney and their young daughter Harper. He works hard to provide for his family and afford their beautiful home in their quiet suburban neighborhood. When supernatural occurrences start to happen in the house, Sam fears for the safety of his wife and daughter. When the occurrences turn into attacks, Sam hires Corbin Carlysle and his reality TV show ghost hunting team known as ""The Ghost Killers"", to help him battle the dark entity that's lurking in the shadows of his home. As things start to escalate and it becomes clear that this entity is much more dangerous than your typical ghost, complications arise when Corbin and his team are more focused on fame and fortune. To win this fight Sam must battle his own inner demons and revert back to his violent past. In order to save the ones he loves a Demon must face a Demon.",2017-05-16,1.642,2,2.0,0,0,95,"Horror, Thriller",USA,NOT RATED,Joey Moran,Crystal Cook|Lance Eakright|Jake Ryan Hull|John Kviklys|Chloe Lee|Jason Nicholson|Grace Patterson|Joseph Rene|Timothy Talbott|Madeline Thelton|Jack Watkins|Crew Wyard,"Dallas, Texas, USA",Slasher
She Wolf,Ingles,"She Wolf is a serial killer who traps her men in the subway in Buenos Aires. She seduces, has sex with them and kills them. But one of those men is a police officer who is investigating her crimes. Running away from him she meets a dealer with whom she stars a relationship. This romance unravels a war between her three personalities: the monster woman, the sensual woman and the human woman who can still love.",2013-09-14,1.641,6,3.7,0,0,92,"Drama, Horror, Thriller",USA,NOT RATED,Tamae Garateguy,Mónica Lairana|Guadalupe Docampo|Luján Ariza|Edgardo Castro|Nicolás Gold|Guillermo Pfening|Germán Da Silva|César Bordón|Hernán Bustos|Miguel Forza de Paul|Javier De Pietro|José Luciano González|Diego Rinaldi,Desconocido,Terror psicológico
SOS: Save Our Skins,Ingles,Two hapless British geeks wake up in New York City only to find that the entire human race has vanished.,2014-04-04,1.641,6,7.5,0,0,98,"Comedy, Horror",USA,NOT RATED,Kent Sobey,Sonny Adegboruwa|Tom Bolton|Michael Chwastiak|Tim Cooper|Chris Hayward|James McDougall|Arcade Riley|Nat Saunders|Peter Serafinowicz|Hannah Spear|Peter Turpin,Desconocido,Terror cómico
Killer Piñata,Ingles,"A possessed piñata, seeking to avenge the savagery that humanity has inflicted on his kind, picks off a group of friends, one by one, in an unending night of terror.",2017-01-18,1.641,3,6.0,0,5000,87,"Comedy, Horror",USA,NOT RATED,Stephen Tramontana,Lindsay Ashcroft|Nate Bryan|Billy Chengary|Sheila Edmiston|Elvis Garcia|Daniel Hawkes|Eliza-Jane Morris|Davinia Palmer|Steven James Price|Joette Waters|Nick Weeks,"Logan Square, Chicago, Illinois, USA",Terror cómico
Monster X,Ingles,"Two friends hide in an old theater to escape ravenous hordes of vampires, zombies and werewolves.",2017-03-01,1.641,4,4.5,0,0,70,Horror,USA,NOT RATED,"Jaysen P. Buterin, Daniel B. Iske, Patrick Rea",Matt Tatroe,Desconocido,Terror puro
Net I Die,Tailandes,"Monica, a big internet celebrity (aka idol) hangs herself live on her video channel. A year later idols start dying in horribly. All were tagged in Monica's last video, including Sa, a former idol-turned-beauty entrepreneur. Sa's boyfriend Jak investigates. All clues point to Sa's new facial cream.",2017-08-19,1.641,21,6.0,0,0,86,"Horror, Thriller",Thailand,NOT RATED,Weeratham Preedee,Kachai Pich|Fahkuelon Ratsameekhae|Klai-Udom Sarantorn,Desconocido,Slasher
Alpha Girls,Ingles,Alpha Girls is about a Sorority House terrorized by an unholy curse of their own creation.,2013-08-31,1.637,10,4.7,20000,0,90,"Action, Horror, Science Fiction",USA,R,"Tony Trov, Johnny Zito",Kacie Marie|Christine Fisler|Falon Joslyn|Victoria Guthrie|Nikki Bell|Beverly Rivera|Julie Chen|Nicole Cinaglia|Victor Gennaro|Patrick Maitino|Schooly-D|Ron Jeremy|Alyssa Kempinski|Shawna Ferguson|Norm Schultz,"Philadelphia, Pennsylvania, USA",Terror de ciencia ficción
Marianne,Sueco,"The life of Krister has become an unending nightmare, ever since his wife's death. There seems to be no respite for this man, tormented by the errors of his past and held prisoner by a grim daily existence.",2011-11-04,1.634,7,5.1,0,0,103,"Drama, Fantasy, Horror, Mystery, Thriller",USA,NOT RATED,Filip Tegstedt,Thomas Hedengran|Peter Stormare|Tintin Anderzon|Sandra Larsson|Dylan M. Johansson|Viktoria Sätter|Helena Löwenmark|Gudrun Mickelsson|Patrik Andersson|Maria Bergsten|Peter Boija|Jonathan Bonin|Stella Edling|Kerstin Hansson|Tim Netzler,"Östersund, Jämtlands län, Sweden",Terror sobrenatural
The Profane Exhibit,Ingles,"Deep within the underbelly of Paris, there is a club which is the home of a secret, wicked society. At first it resembles an ordinary fetish or Goth nightclub, but within the cavernous building are many hidden rooms, one of which is known as ""The Room of Souls,"" a private gathering place of the world's richest and most evil people. Their host is the elegant yet frightening Madame Sabatier. For their amusement each member takes a turn and spins a true tale of depravity.",2013-03-22,1.633,1,1.0,0,0,90,Horror,Canada,NOT RATED,"Jeremy Kasten, Uwe Boll, Ruggero Deodato",Christine Ahanotu|Dídac Alcaraz|U. Bernard|Stephanie Bertoni|Jennifer Bliman|Jiji Bû|Leonardo Capoccia|Tara Cardinal|Beatrice Deodato|Rob Doak|Mario Dominick|L. Dora|Dan Ellis|Norman England|Art Ettinger,Desconocido,Terror puro
Nymph,Tailandes,An urban husband and wife travel to the jungle and learn just how precious their relationship is.,2009-05-20,1.632,15,6.4,0,0,91,"Horror, Mystery",Serbia,NOT RATED,Milan Todorovic,Kristina Klebe|Franco Nero|Natalie Burn|Dragan Micanovic|Miodrag 'Miki' Krstovic|Slobodan Stefanovic|Sofija Rajovic|Zorana Kostic Obradovic|Jelena Rakocevic|Janko Cekic|Miki Peric|Milena Predic|Mina Sablic|Zarko Dudic|Slobodan Jocic,"Rose, Montenegro",Terror psicológico
The Sins of Dracula,Ingles,"As the star of his church choir, there's nothing that brings Billy more joy than the opportunity to sing for an audience. However, as his desire to perform grows, the stalwart youth finds that waiting until Sunday to get his fix just simply isn't enough. Going against the advice of his pastor, Billy follows his girlfriend into the world of secular entertainment, joining the local community theatre troupe. There, Billy is introduced to a whole new world, where his fellow thespians dabble in drugs, sexual perversion, and table-top game-play. Yet, for all the newly minted depravities Billy encounters, none could prepare him for the darkest truth of them all: The theatre group is actually a front for a Satanic cult intent on raising Dracula from the grave!",2014-10-26,1.632,4,4.5,20000,0,81,Horror,USA,NOT RATED,Richard Griffin,Sarah Nicklin|Anna Rizzo|Jose Guns Alves|Jamie Lyn Bagley|Samantha Acampora|Carmine Capobianco|Jesse Dufault|Tobias Wilson|Jamie Dufault|Elyssa Baldassarri|Michael Thurber|Steven O'Broin|Johnny Sederquist|Christian Masters|Aaron Peaslee,"Providence, Rhode Island, USA",Terror puro
Scary Story Slumber Party,Ingles,3 friends gather together to throw an old fashion Slumber Party like they did in the old days. They begin to tell each other scary stories to liven up the fun. But the fun is leading to something a bit more sinister.,2017-01-17,1.63,3,5.7,0,0,76,"Horror, Thriller",USA,NOT RATED,"John Johnson, Jonathan Moody, Myke Wilson",Faron Brown|Russell A. Bryan|Takiah Coleman|Brittany Colley|Henry D'Alonzo|Lauren Dawson|Lauren Dawson|Jessica Dole|Heather Dorff|Jay Gates|Jackey Hall|Sierra Holmes|Sarah Kaminski|Casey Lane|Rachael Lang,"Richmond, Virginia, USA",Slasher
Dark Highlands,Ingles,"A Japanese artist visits the Highlands of Scotland to paint, but becomes the target of a sadistic killer. Alone, suffering from exposure and hunted, he must find a way to survive.",2018-12-18,1.63,5,4.1,0,0,85,Horror,UK,NOT RATED,Mark Stirton,Junichi Kajioka|Steve Campbell|Mike Mitchell|Brian Cox|Barry Thackrey|Fraser Napier|Lucy Philip|Jane Nyokabi|Faustas Talacka|Aria Morrison-Blyth|Mark Wyness|Alistair Ritchie|Michael Grant Clark,Desconocido,Terror puro
Creature Feature,Ingles,"Creature Feature is five interwoven tales of terror that occur one foggy Halloween night in Georgia. A babysitter learns a new appreciation for fine art and hard lesson about the consequences of being irresponsible...and naughty!; a group of college kids stumble on the mother of all Scarecrows; two teenagers are forced to steal from the wrong cantankerous old hermit who has been known to occasionally howl at the moon; a murdered father comes back for vengeance against his gold-digging wife and traitorous children; and all of this Halloween fun is made possible by a London Gentleman known as...""Jack""",2015-10-31,1.629,5,3.0,0,0,79,Horror,USA,NOT RATED,Chase Smith,Tenille Houston|Jason Vail|Giana Alexis Cambria|Michael Maponga|Lance Paul|Becca Beton|Libby Blanton|Austin Freeman|Chad Sanborn|Kelly Lamor Wilson|Nick Heeter|Christina Klein|Rebecca Thomason|Niki Edwards|Cameron Gagne,Desconocido,Terror puro
Frost Bite,Ingles,"After losing her son in the massive zombie attack Reagan is forced to walk the back woods of frozen Alaska. While doing so she meets Colby Jack and Chris in their custom Winnebago. She is safe for now. Taken back to a small store dubbed ""Frost Bite"" she will help the remaining survivors fight not only zombies but a religious mad man known as Regis. But all is not lost with leadership of ex-marine John Bannister they just might make it to see another day. Written by Pop Gun Pictures",2011-01-01,1.627,4,2.9,0,0,79,"Action, Horror",USA,NOT RATED,Joe Davison,Cheyenne Buchanan|Cassandre Leigh|Joe Davison|André Reissig|David Bond|Travis Busse|Ben Charles|Duey Essex|Luke Hobbs|David Koepfinger|Erik Martin|Peter McNeal|Arthur Moonin|Ed O'Connor|Samuel Clay Ostlund Sease,"Talkeetna, Alaska, USA",Terror físico
Death's Door,Ingles,"It all begins with an anonymous text message with a party invitation. A dozen young men and women gather, eat, drink, party, and have the time of their lives inside the doors of a dilapidated mansion -- that is, until it's time to go. The front door doesn't open; the back door doesn't open.",2015-09-29,1.627,4,4.4,300000,0,91,Horror,USA,NOT RATED,Kennedy Goldsby,Obba Babatundé|Chico Benymon|Andrew Cappelletti|Tommy 'Tiny' Lister,Desconocido,Terror puro
The Labyrinth,Ingles,"A collection of original shorts exploring the unknown, the unexplained, and the unimaginable.",2017-01-01,1.627,4,9.3,0,0,0,"Fantasy, Horror, Science Fiction",USA,NOT RATED,"John Berardo, Jessica Kaye, Katrelle N. Kindred",James Franco|Josh Peck|Jim Parrack|Jason Ritter|Matt Lucas|Beth Grant|Flavor Flav|Alberto Jorrin|Carmen Argenziano|Alexander Arntzen|Gary Bairos|James Berardo|Sasha Bujnak|Robert Burns|Alison Elane Burton,"Los Angeles, California, USA",Terror de ciencia ficción
HoneyBee,Ingles,"A quiet town is jumpstarted by the arrival of an enigmatic family; a statuesque mother named Louisa and her gorgeous teenage sons. Sixteen Year-Old Hilary is working hard to get good grades, hoping to escape the small town life a long line of relatives lived before her. With the arrival of the mysterious family just weeks before school is to let out, life suddenly becomes appealing. Hilary's father is instantly charmed by Louisa, while she herself finds a strong connection to middle son Kadin, ignoring her dubious instincts. As the town falls under the hypnotic spell of the young men, no one but Hilary sees the peculiar loyalty that holds them together and the lengths they will go to give their mother what she needs until it's far too late.",2016-06-13,1.626,10,4.0,0,0,94,"Horror, Thriller",USA,NOT RATED,Nicki Harris,Jane Wiedlin|Lorin Partalis|Connie Saltzman|Rocco Michaluk|Pokey Spears|Garrett Richmond|Justin Parks|Suzanne Jaehne|Kerry Logan|Emerald Rose Sullivan|Corey Camperchioli|Nathan Ross Murphy|Claire Hughto|Jason Parks|Andrew Start,Desconocido,Slasher
Darr @ the Mall,Hindi,Darr @ The Mall is a spine chilling tale of one night and an encounter with the past.,2014-02-21,1.625,11,4.3,0,0,124,"Horror, Thriller",India,NOT RATED,Pawan Kripalani,Jimmy Shergill|Nushrat Bharucha|Arif Zakaria|Vikram Raj Bhardwaj|Geet Sharma|Asif Basra|Nivedita Bhattacharya|Shradha Kaul|Pramod Pathak|Yoshika Verma|Neeraj Khetrapal|Neeraj Sood|Charlotte Desmond|Rahul Mishra|Vishal Jehtwa,Desconocido,Slasher
"Scaler, Dark Spirit",Ingles,"A Paranormal researcher has been handed video footage from a ghost hunter, which reveals clues to a bad and old soul.",2016-06-18,1.625,5,3.2,0,0,80,"Horror, Thriller",USA,TV-MA,Dan T. Hall,Nathan Bechtold|Ran Burns|Jessica Froelich|Moli Hall|Lafayette Scott Hankins|Dija Henry|Will Prim|Ransom Pugh,Desconocido,Slasher
Invoking 4,Ingles,"In the fourth chapter of the horror franchise, a young woman is transported to another dimension where spirits and demons lurk. As she battles for her life on Halloween night, she is forced to face her darkest fears.",2017-10-17,1.623,3,6.7,0,0,75,Horror,USA,NOT RATED,Desconocido,Keith Dowell|Carolyn Fields|Charlotte Hunter|Mike Paulin|Tim Troemner|Amy Wyles|Ben Wyles,Desconocido,Terror puro
Gutterballs 2: Balls Deep,Ingles,BBK returns to wreak havoc on a new group of victims at a bowling alley.,2015-05-03,1.622,2,6.0,100000,0,80,Horror,USA,NOT RATED,Ryan Nicholson,Ryan Nicholson|Aidan Dee|Momona Komagata|Kirsty Peters|Stephanie McFarland|Holly Pottie|Amanda Finnamore,"Vancouver, British Columbia, Canada",Terror puro
The Control Group,Ingles,"Five college students wake up in an abandoned, locked-down insane asylum - with no idea how they got there and no means of escape. They discover that they are the subjects of secret experiments, but these tests have awakened something that cannot be explained by science. The group must now fight to escape both the human and supernatural threats if they are to survive and break out of their prison.",2014-10-22,1.621,6,6.3,1000000,0,84,"Crime, Drama, Fantasy, Horror",USA,NOT RATED,Peter Hurd,Brad Dourif|Ross Destiche|Jenna Enemy|Justen Jones|Emily Soto|Shane Philip|Monique Candelaria|Jerry G. Angelo|Kodi Saint Angelo|Larry Laverty|Meisha Johnson|Taso N. Stavrakis|Luce Rains|Ian Pickett|Denise Mauer,"Fergus Falls, Minnesota, USA",Terror sobrenatural
The Reverend,Ingles,"Fresh from seminary school, a new Reverend embarks on his first parish: A small, low-maintenance chapel based in the idyllic setting of a quiet country village. While on the surface the village seems to be a peaceful parish, with perfect residents, soon it becomes apparent that something more sinister lurks beneath the façade of a local businessman. On a wet, cold night, a mysterious girl visits the Reverend at the chapel. She is welcomed in warmly, but soon it becomes apparent that her visit is not for sanctuary but to deliver a message, a message in the form of a deep, bloody bite... Awoken with an unknown, uncontrollable thirst, the confused Reverend can't find any evidence of the girl from the night before. With nothing but his thirst and memory of the bite, the Reverend embarks on a mandate to clean up the village and the neighboring estate...by preaching or feasting.",2012-08-03,1.62,9,4.1,0,0,98,"Action, Horror",UK,NOT RATED,Neil Jones,Rutger Hauer|Doug Bradley|Tamer Hassan|Edmund Kingsley|Simon Phillips|Emily Booth|Shane Richie|Giovanni Lombardo Radice|Marcia Do Vales|Stuart Brennan|Mads Koudal|Dominic Burns|Helen Griffin|Neil Jones|Gareth Webb,"South Wales, Wales, UK",Terror físico
Beautiful Prison,Ingles,"Ben is a brain damaged young man who awakens from a violent accident to a restored intellect and supernatural abilities, which allow him to control the happenings of his world.",2016-07-12,1.62,12,5.1,0,0,83,"Drama, Horror, Romance, Thriller",USA,TV-MA,Joel Vallie,Mónica Almanza|Valentina Arnold|Kristen Barrett|Benjamin Chamberlain|Ernesto D'Alessio|Leila Garza Stockwell|Liam Matthews|Caleb Pope|Jason Riley|Kaelin Stockwell|Isabel Zittel,"Manistee, Michigan, USA",Terror romántico
Ruqyah - The Exorcism,Indonesio,"This is a true story that happened mid-2012: Mahisa (Evan Sanders) wants to help a movie star named Asha (Celine Evangelista) who feel annoyed by the spirits. Due to too many strange incidents he sees, Mahisa is convinced that Asha is possessed by a supernatural being. After consulting with the famous ustad, he tries to do ruqyah (exorcism) to clean Asha. It turns out that what possesses Asha is not easy to be released, even attacking Mahisa. What possesses Asha is meant to be ""charmer"" to be liked by many people. Mahisa is also attracted to Asha.",2017-10-05,1.618,5,3.8,0,0,89,Horror,Indonesia,NOT RATED,Jose Poernomo,Celine Evangelista|Evan Sanders,Desconocido,Terror puro
First Man on Mars,Ingles,"The countdown to terror has begun. Astronaut Eli Cologne became the first man on Mars, but something went horribly wrong. Infected by an alien organism, he returned to Earth a savage monster with an unquenchable thirst for human flesh.",2016-09-27,1.617,2,3.5,0,0,77,"Comedy, Horror, Science Fiction",USA,NOT RATED,Mike Lyddon,Kelly Murtagh|Robert John Gilchrist|Candace McAdams|Sam Cobean|Benjamin Wood|Jeffrey Estiverne|Tressler Burton|Roy L. Jackson Jr.|Marcelle Shaneyfelt|Andy Reboul|Kirk Jordan|Joey Harmon,Desconocido,Terror cómico
Phantom of the Theatre,Chino,"A haunted theatre, filled with the vengeful spirits of a tragically-trapped performance troupe murdered in a fire 13 years ago, waits for the once-grand palatial playhouse to re-open with a new show - and bring in new victims.",2016-04-29,1.616,13,4.8,0,0,103,"Drama, Horror, Mystery",China,NOT RATED,Wai Man Yip,Ruby Lin|Tony Yo-ning Yang|Simon Yam|Huan Huang|Lei Huang|Gangshan Jing|Jing Li|Zifeng Zhang,"Shanghai, China",Terror psicológico
Yaamirukka Bayamey,Tamil,"Kiran gets his dad's property and decides to turn it into a hotel. Intriguingly, all the customers who come to stay there, dies inexplicably. What's happening?",2014-05-09,1.615,10,6.3,0,0,130,"Comedy, Horror",India,NOT RATED,Deekay,Krishna Sekhar|Rupa Manjari|Karunakaran|Oviya|Aadhav Kannadasan|Anaswara|Nalinikanth|Mayilsamy|Bose Venkat|Namo Narayana|Mahanadhi Shankar|Sona Heiden|Devipriya|Balaji Mohan|Rayil Ravi,Desconocido,Terror cómico
Rufus,Ingles,"Rufus is a shy and lonely boy determined to make a new start. Sure he has some quirks. So what if he likes the taste of blood? It's not like he's addicted. When a cunning vampire hunter slips into town searching for the fountain of youth, Rufus fears his darkest secret is about to be revealed.",2013-07-26,1.611,18,6.0,2100000,0,109,"Drama, Horror",USA,TV-MA,Dave Schultz,Rory J. Saper|Christina Jastrzembska|Tom Carey|David James Elliott|Kelly Rowan|Merritt Patterson|Kristina Hughes|Rob Roy|Kim Coates|Richard Harmon|Tom Liske|Dave Brown|Nancy Sorel|Louise Handford|Jacob Stebner,"Dundurn, Saskatchewan, Canada",Terror psicológico
The Year After Infection,Ingles,"Four stories, represented by each season, with diverse groups of people and the challenges they face after a zombie apocalypse. Trying to create a new life under the most dire of circumstances and dealing with letting go of their former lives, while coping with the constant danger of the infected. Will they survive? Will they want to?",2012-07-12,1.611,4,4.6,0,0,131,Horror,USA,NOT RATED,Antonio E. Greco,Trinka|Stan Davis|James Eason|Nichole Fischer|Joe Hammerstone|Ben Bovee|Dennis Dashley|Christopher M. Johnson|Eric Warrington|Timothy Lantz|Rhonda Husak|Julian Thomas|Dereck Krebs|Clark Pearson|Elyse Bertani,Desconocido,Terror puro
Animus: The Tell-Tale Heart,Ingles,"Edgar Allan Poe's macabre masterpiece of murder and madness, re-imagined as a modern day revenge thriller.",2015-10-31,1.61,2,3.5,10,0,95,"Horror, Thriller",USA,NOT RATED,Aaron Russman,Dana Blackstone|Rick Dethlefsen|Amin Fallahi|Axel Harney|Kelly Kirstein|Brak Little|Christin Russman|Bruce Spielbauer|Brian Van Camp|Katherine Vermeersch|Michael Wexler,"Michigan, USA",Slasher
Killer Holiday,Ingles,"Taylor, a former juvenile delinquent, convinces straight-'A' student, Cammi to join her and her friends on a Spring Break road trip through the California desert. Ignoring evil premonitions from Cammi, the 8 friends party heavily as they get farther and farther away from civilization along old Route 66 with a killer in pursuit. Anxiety builds as each stop along the way proves stranger and stranger until the group is lured to an abandoned amusement park with a mysterious past far off the main highway. There the group discovers that the park comes complete with broken down vintage carnival rides, shocking surprises, the smell of death, and an enticing, young tattooed serial killer named Spider.",2013-10-18,1.608,11,2.9,0,0,103,"Horror, Thriller",USA,R,Marty Thomas,Michael Copon|Rachel Lara|Julia Beth Stern|Alex Mandel|Kaley Victoria Rose|Matt Calloway|David Namminga|Noah Gibbings|Gabriel Olivera|Richard Hoag|Sydney Rae Shalhoob|Randolph Mantooth|Puffy Copon|Fuse|Brian Harwell,"Santa Ventura Studios - 5301 North Ventura Avenue, Ventura, California, USA",Slasher
Dead Body,Ingles,"Nine high school kids celebrate graduation at a secluded home in the wilderness. They fight, philander, and feel nostalgic as they embark on a life away from home, in college. Once the party dies down they play a game: Dead Body. But when one party-goer takes the game too far, actually murdering the other guests one by one, it's up to the group to set aside their tensions, and ferret out the murderer before it's too late.",2017-10-17,1.607,26,5.2,0,0,85,"Horror, Mystery",USA,NOT RATED,Bobbin Ramsey,Spencer Hamp|Jay Myers|Cooper Hopkins|Miho Aizawa|Rachel Brun|Nathan Pringle|Leah Pfenning|Koe Sakuta|Nic Morden,Desconocido,Terror psicológico
Unidentified,Ingles,"During a wild weekend in Las Vegas, four young friends get into trouble with a loan shark and must skip town in a hurry. But gambling problems may be the least of their worries after they get stranded in the Nevada desert. One of the guys discovers a mysterious metal fragment, then promptly goes missing during the night. When the remaining three catch up with their lost friend, there's something different about him. As his condition worsens, the others realize that something unearthly might be stalking them in the desert.",2013-11-08,1.606,6,4.7,0,0,90,"Comedy, Horror, Science Fiction",USA,NOT RATED,Jason Richard Miller,Parry Shen|Colton Dunn|Eddie Mui|Eric Artell|Beth Alspaugh|Erik Aude|Matt Corboy|Dana Davidson|Brian T. Finney|Marlene Forte|David Foy|Jennifer Gonzalez|Lee Ann Kim|Marcia Landeros|Derek Lux,"Lancaster, California, USA",Terror cómico
Fangboner,Ingles,"Dick and Suzy become infected with an unknown virus. They soon discover that they have a new found taste for blood. The problem is, they only seem to be able to suck blood out of their victims crotches.",2015-09-26,1.604,2,5.0,2000,0,93,"Comedy, Horror",USA,NOT RATED,Nathan Rumler,Lauren Abbott|James Bell|Terence Lee Cover|Sheri Darling|Patrick L. Dear|Mike C. Hartman|Emily Hilborn|Kimberly Ann Howard|Angelina Leigh|Steve Nolan|Brian Papandrea|Ashley Marie Short|Michael Soave|Sadie Tate,"Rochester Hills, Michigan, USA",Terror cómico
Bhoot Returns,Hindi,"A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen, escape seems to be their last resort.",2012-10-11,1.603,4,3.0,750000,890000,73,Horror,India,NOT RATED,Ram Gopal Varma,J.D. Chakravarthi|Madhu Shalini|Alayana Sharma|Nitin Jadhav|Bharat Ganeshpure|Manisha Koirala,Desconocido,Terror puro
A Closer Walk with Thee,Ingles,"A quartet of young missionaries establish a small congregation in a rough LA neighborhood, but problems arise when one of the missionaries can’t control his homosexual urges towards their handsome leader.",2017-02-28,1.599,5,5.4,0,0,90,"Drama, Horror",USA,NOT RATED,"John C. Clark, Brie Williams",Aj Knight|Gregory Shelby|Kelsey Boze|Megan Hensley|Deborah Venegas|Deanna Fleysher|Alexandrea Owens|William Guirola|Brian Sonia-Wallace|Derek Poppe|Taylor Napier|Stephanie Alamillo|Nakia Bell|Trixie Cantact|Thomas R. Clark,"Los Angeles, California, USA",Terror psicológico
All Saints Eve,Ingles,"An evil preacher in the late 1700's leads an angry church mob to murder a farmer and his family in order to steal his land. In his dying breath, the farmer incites an evil curse and vows vengeance. One fateful Halloween night, the curse is accidentally unleashed and a group of teenage friends must now fight to stay alive and solve the ancient mystery before the whole town is doomed for eternity.",2015-01-01,1.596,3,3.5,0,0,83,Horror,USA,NOT RATED,Gerry Lively,Marc Macaulay|Bingo O'Malley|Mere Davis|Katrina Darrell|Nicole Alexandra Shipley|Matthew Bonacci|Shawn Shelpman|Rachel Boyde|Nick LaMantia|Clifford Lynch|Eliot Preschutti|Tiffany Kemp|Scott Sullivan|John W. Iwanonkiw|Gavin A James,"Pittsburgh, Pennsylvania, USA",Terror puro
Hotel of the Damned,Ingles,"After a car accident and stranded in the middle of nowhere, an ex-con and his daughter find themselves in an abandoned hotel, populated by sub-human cannibalistic creatures.",2016-12-09,1.595,9,2.9,0,0,84,"Horror, Thriller",USA,NOT RATED,Bobby Barbacioru,Peter Dobson|Manuela Harabor|Oltin Hurezeanu|Florin Kevorkian|Roxana Luca|Louis Mandylor|Bogdan Marhodin|Natalia Mateut|Valentin Petrisor|Dimitrina Zhivkova,Romania,Slasher
Anomalous,Español,A young schizophrenic who felt threatened by a presence he was unable to define turns up gruesomely dead in his bathtub,2016-11-11,1.586,19,6.2,0,0,100,"Fantasy, Horror, Thriller",USA,NOT RATED,Hugo Stuven,Lluís Homar|Christy Escobar|Edgar Fox|Adria Arjona|Ben Temple|Gonzalo Bouza|LoDeon|Soraya Padrao|Julio Perillán|Jeffrey Alan Solomon,"Barcelona, Catalonia, Spain",Terror sobrenatural
Ghost Theater,Japones,"Sara, a young actress, is able to land the leading role in big theater play, but soon learns that somebody or something is trying to end the production at all cost, which puts Sara in deadly danger.",2015-11-21,1.585,15,6.2,0,0,99,Horror,Japan,NOT RATED,Hideo Nakata,Rika Adachi|Keita Machida|Haruka Shimazaki|Riho Takada,Desconocido,Terror puro
Chudail Story,Hindi,A seductive witch kills men by casting a spell on them. A bunch of friends are trapped in a haunted house with mysterious lady. Is she the Chudail?,2016-05-13,1.584,2,2.5,0,0,100,"Horror, Thriller",India,NOT RATED,Surya Lakkoju,Pankaj Berry|Sunny Charles|Menka Lalwani|Nidhi Nautiyal|Sorab Rajpurohit|Akash Rathore|Amal Sherawat|Preeti Soni,India,Slasher
Ghost Shark 2: Urban Jaws,Ingles,Mayor Broody hires an expert shark-hunter to track down and eliminate a deadly ghost shark when it returns to terrorize Auckland.,2015-07-01,1.582,5,4.8,0,0,71,"Comedy, Horror, Thriller",USA,NOT RATED,"Johnny Hall, Andrew Todd",Campbell Cooley|Johnny Hall|Steve Austin|Kathleen Burns|Roberto Nascimento|David Farrier|Stig Eldred|Juliette Danielle|Ban Abdul|Ben Allan|Harry Astarita|Alan Bagh|Daniel Bain|Adam Baines|Timothy Bartlett,"Kurow, New Zealand",Terror cómico
